Feedback,Course organization and structure,Pace,Workload,Student engagement and participation,Clarity of explanations,Effectiveness of assignments,Classroom atmosphere,Instructor's communication and availability,Inclusivity and sense of belonging,Assessment,Grading and feedback,Learning resources and materials,None of the above / Other
"Exactly as the class should have been. Professor Wu obviously cares about his students success and I feel as though he did everything possible to set us up for success. I don't know if this will come across the way I intend it to but I really appreciate how normal this class was. What I mean is that it didn't consume too much of my time or attention but I still came out having learned everything I needed to; it was a very seamless experience. I feel as though I got exactly what I wanted out of this class (a stress–free experience learning the basics of chemistry) and had I wanted something else (say, an introduction to the marvels of chemistry) Wu could have provided that too. Thank you professor Wu and keep up the good work <3",✓,✓,,,,,✓,,,,,,
"Eric Wu is a HUGE step up from the last professor who taught chemistry. He is a phenomenal educator who focuses mostly on the logical and understanding parts of chemistry. Taking out most of the memorizing parts, it allows students to fully immerse into thinking how chemistry works. Afterall, it is how the exams, homework, and discussions are structured, solving through deconstruction and reconstruction of the problem. The lectures themselves explains thoroughly through the steps of each step, calculations, or concept. Lectures are beautifully structured with multiple options to engage such as asking questions during the lecture through a QR code, provided downloadable notes, office hours, and plenty more.",✓,,,✓,✓,✓,,✓,,,,✓,
Excellent Professor. Such a shame he isn't teaching OChem next quarter,,,,,,,,,,,,,✓
"Great professor, the only thing was that the lectures were very fast. Sometimes it made it hard to follow along. I think a good solution would be to do less examples, and spend more times on the ones that we do in lecture.",,✓,,,,,,,,,,,
"Professor Wu is a wonderful teacher and is very organized and clear with his teaching. I appreciate that he provided a myriad of resources and practice material along with lecture notes and midterm review sessions. He explains well the content of the class and makes frequent pauses throughout his lectures for answering questions. I appreciate that he is a fair grader and provides opportunities for students to achieve the best grade possible in the class. The pace of the class did seem a bit fast and rushed at times, but overall, Professor Wu did a good job of covering the material well in the ten weeks of the quarter.",✓,✓,,,✓,,,✓,,✓,,✓,
Eric that everything to ensure the learning of his students which is great!,,,,,,,,,,,,,✓
"Dr. Wu's knowledge of chemistry is evident in his teaching. Every lecture was well prepared and provided information in a clear and organized way. It is also obvious that Dr. Wu truly cares about helping students learn. He provides a lot of helpful resources before every exam and also holds review sessions. Overall, he is a great teacher.",✓,,,,✓,,,,,,,✓,
"One of Wu's greatest strengths is his lecture–filled notes. If we are already familiar with the course material, we can just follow the lecture with the notes without having to write down anything. It is also a great tool for reviewing before, say, a midterm or  the final exam. Another great strength of his is his coffee hours that he has with students after class. It's nice to get to know your teacher personally and establish a great connection. His final strength is the review sessions he has before midterms. They are well–organized and go over a good chunk of the material. The only weakness I can think of with Wu is how fast he goes during his lectures. I wish he could slow down a bit so I could retain the information more and process it more efficiently. However, this is only a small issue and can be fixed by just looking at his lecture notes after class.",✓,✓,,,✓,,,✓,,,,✓,
Incredible teacher that was fair and taught me a lot!,,,,,,,,,,,,,✓
"Eric explains concepts very clearly with an emphasis on intuition and he encourages students to understand the material being presented rather solely on rote memory. His enthusiasm for chemistry is contagious. He is extremely welcoming, knowledgeable, approachable, and responsive to questions, and he takes the time to make sure students understand what is going on. The course is easy to navigate and students are not limited by access to learning resources (e.g., lecture recordings, lecture notes, practice problems/exams). Before taking course, I did not feel that I had a solid foundation in chemistry from previous classes. Eric’s class truly helped me to patch those areas of insufficient knowledge and to develop a greater understanding and enthusiasm for chemistry. I’d highly recommend this class to other students. I think this class is one of the few classes I’ve taken at UCLA with such a strong emphasis on intuition and a deep understanding of the material. Having taken this class, I’m excited for future chemistry classes.",,,,,✓,,✓,✓,,,,✓,
