Feedback,Course organization and structure,Pace and workload,Student engagement and participation,Clarity of explanations,Effectiveness of assignments,Classroom atmosphere and interaction,Instructor's communication and availability,Inclusivity and sense of belonging,"Assessment, grading, and feedback",Learning resources and materials,None of the above / Other
Professor Wu is extremely organized and clear as a lecturer.,✓,,✓,✓,✓,✓,,✓,✓,✓,
"Professor Wu is a wonderful teacher and is very organized and clear with his teaching. I appreciate that he provided a myriad of resources and practice material along with lecture notes and midterm review sessions. He explains well the content of the class and makes frequent pauses throughout his lectures for answering questions. I appreciate that he is a fair grader and provides opportunities for students to achieve the best grade possible in the class. The pace of the class did seem a bit fast and rushed at times, but overall, Professor Wu did a good job of covering the material well in the ten weeks of the quarter.",,✓,✓,✓,,,,✓,✓,✓,
"Very organized, very manageable workload and difficulty, extremely helpful resources and practice problems for studying, lectures moved a little fast at times but not too bad, very conducive to learning overall",,✓,,,,,,,,,
Super great lecturer!,,✓,✓,✓,✓,✓,,✓,,✓,
"Exactly as the class should have been. Professor Wu obviously cares about his students success and I feel as though he did everything possible to set us up for success. I don't know if this will come across the way I intend it to but I really appreciate how normal this class was. What I mean is that it didn't consume too much of my time or attention but I still came out having learned everything I needed to; it was a very seamless experience. I feel as though I got exactly what I wanted out of this class (a stress–free experience learning the basics of chemistry) and had I wanted something else (say, an introduction to the marvels of chemistry) Wu could have provided that too. Thank you professor Wu and keep up the good work <3",,,✓,✓,,,,✓,,,
"Eric Wu is a HUGE step up from the last professor who taught chemistry. He is a phenomenal educator who focuses mostly on the logical and understanding parts of chemistry. Taking out most of the memorizing parts, it allows students to fully immerse into thinking how chemistry works. Afterall, it is how the exams, homework, and discussions are structured, solving through deconstruction and reconstruction of the problem. The lectures themselves explains thoroughly through the steps of each step, calculations, or concept. Lectures are beautifully structured with multiple options to engage such as asking questions during the lecture through a QR code, provided downloadable notes, office hours, and plenty more.",,,✓,✓,,,,✓,,✓,
"Dr. Wu's knowledge of chemistry is evident in his teaching. Every lecture was well prepared and provided information in a clear and organized way. It is also obvious that Dr. Wu truly cares about helping students learn. He provides a lot of helpful resources before every exam and also holds review sessions. Overall, he is a great teacher.",,,✓,✓,,,,✓,,✓,
Incredible teacher that was fair and taught me a lot!,,,✓,✓,,,,✓,,,
"Eric explains concepts very clearly with an emphasis on intuition and he encourages students to understand the material rather than rely solely on rote memory. His enthusiasm for chemistry is contagious. He is extremely welcoming, knowledgeable, approachable, and responsive to questions, and he takes the time to make sure students understand what is going on.",,,✓,✓,,,,✓,,,
"Very excellent professor and lecturer. The environment he fosters for his students is impeccable, and his dedication towards his students shines.",,,✓,,,,,✓,,,
Best professor ever,,,✓,✓,,✓,,✓,,✓,
Fair with his exams and an excellent lecturer,,,✓,✓,✓,,,✓,✓,✓,
Professor Wu is great!,,,✓,✓,,,,✓,,✓,
Professor Wu was very good about making students feel welcome and he made himself very approachable.,,,✓,,,,,✓,,,
"He's awesome, does lecture in a clear and concise way, explains what we need to know before exams, class is organized.",,,✓,✓,,,,,,,
Eric is an excellent professor. From his lectures to his homework to his tests he is very organized and very communicative.,,,✓,✓,,,,✓,,✓,
Professor Wu is extremely organized and explains concepts very clearly. He truly wants to help students succeed.,,,✓,✓,,,,,,,
Dr. Wu was amazing! Great lecturer who is very well organized and clearly cares about his students.,,,✓,✓,,,,✓,,✓,
Professor Wu is an amazing professor! His lectures are super organized and he gives students notetakers as a guide.,,,✓,,,,,,,,
Professor Wu is very approachable and seems to care about his students.,,,✓,,,,,✓,,✓,
"He is one of the best professors I've had so far, his explanations are so clear.",,,✓,✓,,,,✓,,,
Eric Wu cares about his students and provides ample support and resources.,,,✓,,,,,✓,,,
"Very organized, clear and concise.",,,✓,✓,,,,✓,,✓,
The professor clearly cares about student learning and provides plenty of helpful material.,,,✓,✓,,,,✓,,✓,
His ability to explain concepts in a way that keeps students engaged.,,,✓,✓,,,,✓,,,
Professor Wu is thorough and complete in his teaching.,,,✓,✓,,,,✓,,✓,
"Instructor was communicative, approachable, and very concerned with student success.",,,✓,,,,,✓,,,
"Everything helped me learn, and no time was wasted.",,,✓,✓,,,,✓,,✓,
Professor Wu is an amazing professor who cares deeply about his students.,,,✓,,,,,✓,,✓,
This instructor was very caring and knowledgeable.,,,✓,✓,,,,✓,,✓,
"Great job, I love this class!",,,✓,✓,✓,,,✓,,✓,
Very organized and great communication.,,,✓,✓,,,,✓,,✓,
Good communicator and always engaged with students.,,,✓,✓,,,,✓,,✓,
Eric Wu is one of the nicest professors I have ever had.,,,✓,,,,,✓,,,
Eric is such a nice and empathetic person.,,,✓,✓,,,,✓,,✓,
Very good professor and very interesting.,,,✓,✓,,,,✓,,✓,
Professor Wu is energetic and capable.,,,✓,✓,,,,✓,,✓,
