Model,Topic,Support,True Positives,False Positives,False Negatives,Precision,Recall,F1
Gemma,Course organization and structure,13,5,0,8,1.0,0.3846,0.5556
Gemma,Pace,9,5,0,4,1.0,0.5556,0.7143
Gemma,Workload,1,1,0,0,1.0,1.0,1.0
Gemma,Student engagement and participation,1,0,0,1,0.0,0.0,0.0
Gemma,Clarity of explanations,16,7,2,9,0.7778,0.4375,0.56
Gemma,Effectiveness of assignments,2,0,3,2,0.0,0.0,0.0
Gemma,Classroom atmosphere,7,3,1,4,0.75,0.4286,0.5455
Gemma,Instructor's communication and availability,6,4,4,2,0.5,0.6667,0.5714
Gemma,Inclusivity and sense of belonging,3,0,0,3,0.0,0.0,0.0
Gemma,Assessment,9,3,0,6,1.0,0.3333,0.5
Gemma,Grading and feedback,0,0,1,0,0.0,0.0,0.0
Gemma,Learning resources and materials,12,4,0,8,1.0,0.3333,0.5
Gemma,None of the above / Other,4,4,8,0,0.3333,1.0,0.5
Llama3,Course organization and structure,13,8,0,5,1.0,0.6154,0.7619
Llama3,Pace,9,5,0,4,1.0,0.5556,0.7143
Llama3,Workload,1,0,1,1,0.0,0.0,0.0
Llama3,Student engagement and participation,1,1,2,0,0.3333,1.0,0.5
Llama3,Clarity of explanations,16,13,2,3,0.8667,0.8125,0.8387
Llama3,Effectiveness of assignments,2,0,1,2,0.0,0.0,0.0
Llama3,Classroom atmosphere,7,2,1,5,0.6667,0.2857,0.4
Llama3,Instructor's communication and availability,6,3,12,3,0.2,0.5,0.2857
Llama3,Inclusivity and sense of belonging,3,0,1,3,0.0,0.0,0.0
Llama3,Assessment,9,3,1,6,0.75,0.3333,0.4615
Llama3,Grading and feedback,0,0,2,0,0.0,0.0,0.0
Llama3,Learning resources and materials,12,3,0,9,1.0,0.25,0.4
Llama3,None of the above / Other,4,4,3,0,0.5714,1.0,0.7273
roBERTa,Course organization and structure,13,10,4,3,0.7143,0.7692,0.7407
roBERTa,Pace,9,1,0,8,1.0,0.1111,0.2
roBERTa,Workload,1,0,1,1,0.0,0.0,0.0
roBERTa,Student engagement and participation,1,1,11,0,0.0833,1.0,0.1538
roBERTa,Clarity of explanations,16,8,6,8,0.5714,0.5,0.5333
roBERTa,Effectiveness of assignments,2,1,0,1,1.0,0.5,0.6667
roBERTa,Classroom atmosphere,7,1,0,6,1.0,0.1429,0.25
roBERTa,Instructor's communication and availability,6,2,3,4,0.4,0.3333,0.3636
roBERTa,Inclusivity and sense of belonging,3,3,13,0,0.1875,1.0,0.3158
roBERTa,Assessment,9,0,0,9,0.0,0.0,0.0
roBERTa,Grading and feedback,0,0,9,0,0.0,0.0,0.0
roBERTa,Learning resources and materials,12,2,1,10,0.6667,0.1667,0.2667
roBERTa,None of the above / Other,4,0,2,4,0.0,0.0,0.0
DistilroBERTa,Course organization and structure,13,0,0,13,0.0,0.0,0.0
DistilroBERTa,Pace,9,1,1,8,0.5,0.1111,0.1818
DistilroBERTa,Workload,1,0,0,1,0.0,0.0,0.0
DistilroBERTa,Student engagement and participation,1,1,3,0,0.25,1.0,0.4
DistilroBERTa,Clarity of explanations,16,5,3,11,0.625,0.3125,0.4167
DistilroBERTa,Effectiveness of assignments,2,0,1,2,0.0,0.0,0.0
DistilroBERTa,Classroom atmosphere,7,0,5,7,0.0,0.0,0.0
DistilroBERTa,Instructor's communication and availability,6,1,0,5,1.0,0.1667,0.2857
DistilroBERTa,Inclusivity and sense of belonging,3,0,9,3,0.0,0.0,0.0
DistilroBERTa,Assessment,9,2,1,7,0.6667,0.2222,0.3333
DistilroBERTa,Grading and feedback,0,0,1,0,0.0,0.0,0.0
DistilroBERTa,Learning resources and materials,12,1,0,11,1.0,0.0833,0.1538
DistilroBERTa,None of the above / Other,4,1,16,3,0.0588,0.25,0.0952
